Term,M_univ,K_term,n_sel,x_overlap,expected,p,FDR
medium-chain fatty acid biosynthetic process (GO:0051792),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
mesodermal cell fate commitment (GO:0001710),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
positive regulation of granulocyte differentiation (GO:0030854),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
positive regulation of histone H3-K9 methylation (GO:0051574),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
positive regulation of killing of cells of other organism (GO:0051712),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
positive regulation of miRNA mediated inhibition of translation (GO:1905618),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:0001844),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
protein localization to nucleolus (GO:1902570),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
regulation of miRNA mediated inhibition of translation (GO:1905616),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
telomeric D-loop disassembly (GO:0061820),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
vitamin A metabolic process (GO:0006776),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
central nervous system development (GO:0007417),19269,229,99,4,1.1765530126109296,0.03047224824812099,1.0
regulation of G2/M transition of mitotic cell cycle (GO:0010389),19269,134,99,3,0.6884633348902383,0.03180795748997946,1.0
protein catabolic process (GO:0030163),19269,55,99,2,0.2825782344698739,0.032530381760813264,1.0
"regulation of DNA-templated transcription, initiation (GO:2000142)",19269,55,99,2,0.2825782344698739,0.032530381760813264,1.0
regulation of innate immune response (GO:0045088),19269,56,99,2,0.2877160205511443,0.03362433173891376,1.0
chemical homeostasis (GO:0048878),19269,57,99,2,0.2928538066324148,0.03473254831174248,1.0
recombinational repair (GO:0000725),19269,57,99,2,0.2928538066324148,0.03473254831174248,1.0
organelle organization (GO:0006996),19269,352,99,5,1.8085007006071927,0.03514849047921222,1.0
DNA metabolic process (GO:0006259),19269,240,99,4,1.2330686595049043,0.035291640457657515,1.0
cellular protein complex disassembly (GO:0043624),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
cellular response to leucine starvation (GO:1990253),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
cleavage furrow formation (GO:0036089),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
G-quadruplex DNA unwinding (GO:0044806),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
glandular epithelial cell development (GO:0002068),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
immunological synapse formation (GO:0001771),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
parallel actin filament bundle assembly (GO:0030046),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
peptidyl-lysine deacetylation (GO:0034983),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
positive regulation of IRE1-mediated unfolded protein response (GO:1903896),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
regulation of myosin-light-chain-phosphatase activity (GO:0035507),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428),19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
cell cycle G1/S phase transition (GO:0044843),19269,58,99,2,0.2979915927136852,0.03585485924464937,1.0
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),19269,58,99,2,0.2979915927136852,0.03585485924464937,1.0
mitochondrion organization (GO:0007005),19269,143,99,3,0.7347034096216721,0.037468099817097165,1.0
mitotic G1 DNA damage checkpoint signaling (GO:0031571),19269,60,99,2,0.3082671648762261,0.0381410820499461,1.0
positive regulation of cell cycle (GO:0045787),19269,61,99,2,0.31340495095749654,0.039304656223314756,1.0
peptidyl-serine phosphorylation (GO:0018105),19269,147,99,3,0.7552545539467539,0.04013851318106533,1.0
T cell receptor signaling pathway (GO:0050852),19269,147,99,3,0.7552545539467539,0.04013851318106533,1.0
actin filament network formation (GO:0051639),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
chromatin silencing at telomere (GO:0006348),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
intraciliary retrograde transport (GO:0035721),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
mitochondrial fragmentation involved in apoptotic process (GO:0043653),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
mitochondrial respirasome assembly (GO:0097250),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
negative regulation of double-strand break repair via homologous recombination (GO:2000042),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
negative regulation of mitochondrial membrane potential (GO:0010917),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
positive regulation of immunoglobulin mediated immune response (GO:0002891),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
regulation of endoplasmic reticulum unfolded protein response (GO:1900101),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
telomeric loop disassembly (GO:0090657),19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
nucleic acid metabolic process (GO:0090304),19269,64,99,2,0.32881830920130783,0.04287523164564482,1.0
peptidyl-serine modification (GO:0018209),19269,152,99,3,0.780943484353106,0.0436088910903948,1.0
negative regulation of viral process (GO:0048525),19269,65,99,2,0.3339560952825782,0.04409149373431509,1.0
positive regulation of protein polymerization (GO:0032273),19269,65,99,2,0.3339560952825782,0.04409149373431509,1.0
regulation of actin filament polymerization (GO:0030833),19269,65,99,2,0.3339560952825782,0.04409149373431509,1.0
regulation of translation (GO:0006417),19269,154,99,3,0.791219056515647,0.04503787273330234,1.0
bone resorption (GO:0045453),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
cellular response to leucine (GO:0071233),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
defense response to tumor cell (GO:0002357),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
formation of extrachromosomal circular DNA (GO:0001325),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
lipid droplet formation (GO:0140042),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
negative regulation of membrane potential (GO:0045837),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
negative regulation of TORC1 signaling (GO:1904262),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
oligosaccharide catabolic process (GO:0009313),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
positive regulation of RIG-I signaling pathway (GO:1900246),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
regulation of endothelial cell development (GO:1901550),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
response to leptin (GO:0044321),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
response to leucine (GO:0043201),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
t-circle formation (GO:0090656),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
telomere maintenance via telomere trimming (GO:0090737),19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),19269,67,99,2,0.3442316674451191,0.04656215178486177,1.0
regulation of cytokine-mediated signaling pathway (GO:0001959),19269,67,99,2,0.3442316674451191,0.04656215178486177,1.0
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",19269,68,99,2,0.34936945352638954,0.04781622840988626,1.0
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",19269,68,99,2,0.34936945352638954,0.04781622840988626,1.0
neuron differentiation (GO:0030182),19269,160,99,3,0.8220457730032695,0.049463252104302975,1.0
ethanol oxidation (GO:0006069),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
Golgi to lysosome transport (GO:0090160),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
lymphocyte activation involved in immune response (GO:0002285),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
mitotic G1/S transition checkpoint signaling (GO:0044819),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
negative regulation of cell morphogenesis involved in differentiation (GO:0010771),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
negative regulation of substrate adhesion-dependent cell spreading (GO:1900025),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
positive regulation of ceramide biosynthetic process (GO:2000304),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
positive regulation of isotype switching (GO:0045830),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
positive regulation of sphingolipid biosynthetic process (GO:0090154),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
proteasome assembly (GO:0043248),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
regulation of granulocyte differentiation (GO:0030852),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
regulation of histone H3-K9 methylation (GO:0051570),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
regulation of isotype switching (GO:0045191),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
regulation of protein acetylation (GO:1901983),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
synaptic vesicle transport (GO:0048489),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
telomere maintenance in response to DNA damage (GO:0043247),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
UV protection (GO:0009650),19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
negative regulation of cell cycle (GO:0045786),19269,70,99,2,0.3596450256889304,0.050361088069337236,1.0
regulation of programmed cell death (GO:0043067),19269,162,99,3,0.8323213451658104,0.050984093946852785,1.0
cellular protein modification process (GO:0006464),19269,937,99,9,4.814105558150397,0.051594372138367,1.0
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418),19269,72,99,2,0.36992059785147124,0.05295385258523307,1.0
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),19269,73,99,2,0.3750583839327417,0.05426781495359557,1.0
double-strand break repair via homologous recombination (GO:0000724),19269,73,99,2,0.3750583839327417,0.05426781495359557,1.0
coenzyme A biosynthetic process (GO:0015937),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
negative regulation of viral release from host cell (GO:1902187),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
nucleotide-sugar metabolic process (GO:0009225),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
positive regulation of double-strand break repair via nonhomologous end joining (GO:2001034),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
positive regulation of non-canonical Wnt signaling pathway (GO:2000052),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
positive regulation of protein acetylation (GO:1901985),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
positive regulation of sodium ion transmembrane transporter activity (GO:2000651),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
positive regulation of transporter activity (GO:0032411),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
purine nucleoside bisphosphate biosynthetic process (GO:0034033),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
response to dsRNA (GO:0043331),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
ribonucleoside bisphosphate biosynthetic process (GO:0034030),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
synaptic vesicle localization (GO:0097479),19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
nervous system development (GO:0007399),19269,402,99,5,2.0653900046707148,0.05630878721599416,1.0
antigen receptor-mediated signaling pathway (GO:0050851),19269,171,99,3,0.8785614198972443,0.05810585368106954,1.0
positive regulation of cellular component biogenesis (GO:0044089),19269,77,99,2,0.3956095282578235,0.05963734372718255,1.0
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079),19269,77,99,2,0.3956095282578235,0.05963734372718255,1.0
intracellular sterol transport (GO:0032366),19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
mitochondrial outer membrane permeabilization (GO:0097345),19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
ncRNA 3'-end processing (GO:0043628),19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
P-body assembly (GO:0033962),19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103),19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
positive regulation of ubiquitin protein ligase activity (GO:1904668),19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
regulation of phosphate metabolic process (GO:0019220),19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
response to UV-A (GO:0070141),19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
ribosomal subunit export from nucleus (GO:0000054),19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
anaphase-promoting complex-dependent catabolic process (GO:0031145),19269,80,99,2,0.41102288650163477,0.06377971248928437,1.0
negative regulation of cellular protein metabolic process (GO:0032269),19269,80,99,2,0.41102288650163477,0.06377971248928437,1.0
protein localization to membrane (GO:0072657),19269,178,99,3,0.9145259224661374,0.06395309265005408,1.0
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),19269,293,99,4,1.5053713218122373,0.06438409048084184,1.0
cellular response to nitrogen compound (GO:1901699),19269,13,99,1,0.06679121905651564,0.06479011832996545,1.0
medium-chain fatty acid metabolic process (GO:0051791),19269,13,99,1,0.06679121905651564,0.06479011832996545,1.0
negative regulation of viral transcription (GO:0032897),19269,13,99,1,0.06679121905651564,0.06479011832996545,1.0
neuron fate commitment (GO:0048663),19269,13,99,1,0.06679121905651564,0.06479011832996545,1.0
regulation of IRE1-mediated unfolded protein response (GO:1903894),19269,13,99,1,0.06679121905651564,0.06479011832996545,1.0
snRNA processing (GO:0016180),19269,13,99,1,0.06679121905651564,0.06479011832996545,1.0
"negative regulation of transcription, DNA-templated (GO:0045892)",19269,839,99,8,4.310602522185894,0.06690270874972305,1.0
positive regulation of transport (GO:0051050),19269,83,99,2,0.42643624474544606,0.06801650423926991,1.0
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),19269,83,99,2,0.42643624474544606,0.06801650423926991,1.0
retinoid metabolic process (GO:0001523),19269,83,99,2,0.42643624474544606,0.06801650423926991,1.0
bone morphogenesis (GO:0060349),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
cellular response to inorganic substance (GO:0071241),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
coenzyme A metabolic process (GO:0015936),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
detection of chemical stimulus involved in sensory perception of smell (GO:0050911),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
DNA unwinding involved in DNA replication (GO:0006268),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
establishment of vesicle localization (GO:0051650),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
ethanol metabolic process (GO:0006067),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
intracellular cholesterol transport (GO:0032367),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
mitochondrial fusion (GO:0008053),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
oligodendrocyte development (GO:0014003),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
ovarian follicle development (GO:0001541),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
positive regulation of cell killing (GO:0031343),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
positive regulation of pattern recognition receptor signaling pathway (GO:0062208),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
regulation of non-canonical Wnt signaling pathway (GO:2000050),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
T cell activation involved in immune response (GO:0002286),19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
positive regulation of supramolecular fiber organization (GO:1902905),19269,86,99,2,0.4418496029892574,0.07234391622708089,1.0
DNA biosynthetic process (GO:0071897),19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
Golgi to endosome transport (GO:0006895),19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737),19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
positive regulation of response to endoplasmic reticulum stress (GO:1905898),19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
regulation of ceramide biosynthetic process (GO:2000303),19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
regulation of receptor recycling (GO:0001919),19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
snRNA metabolic process (GO:0016073),19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
interleukin-1-mediated signaling pathway (GO:0070498),19269,88,99,2,0.4521251751517982,0.07527736607696604,1.0
protein maturation (GO:0051604),19269,88,99,2,0.4521251751517982,0.07527736607696604,1.0
regulation of cell cycle phase transition (GO:1901987),19269,90,99,2,0.46240074731433906,0.07824836366834965,1.0
aerobic respiration (GO:0009060),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
B cell proliferation (GO:0042100),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
cellular response to gamma radiation (GO:0071480),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
detection of chemical stimulus involved in sensory perception (GO:0050907),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
glycoprotein catabolic process (GO:0006516),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
NLS-bearing protein import into nucleus (GO:0006607),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
preassembly of GPI anchor in ER membrane (GO:0016254),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
regulation of RIG-I signaling pathway (GO:0039535),19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
regulation of neuron apoptotic process (GO:0043523),19269,91,99,2,0.4675385333956096,0.07974761113473114,1.0
post-translational protein modification (GO:0043687),19269,316,99,4,1.6235404016814572,0.07998324413894146,1.0
translational termination (GO:0006415),19269,93,99,2,0.4778141055581504,0.08277294947268049,1.0
cellular response to acid chemical (GO:0071229),19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
endothelial cell proliferation (GO:0001935),19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
negative regulation of lipid catabolic process (GO:0050995),19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
regulation of establishment of endothelial barrier (GO:1903140),19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
regulation of protein localization to cell periphery (GO:1904375),19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
regulation of transcription by RNA polymerase III (GO:0006359),19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
snRNA 3'-end processing (GO:0034472),19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
positive regulation of cellular component organization (GO:0051130),19269,95,99,2,0.4880896777206913,0.08583321965007899,1.0
"base-excision repair, AP site formation (GO:0006285)",19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
carbohydrate derivative catabolic process (GO:1901136),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
endoplasmic reticulum calcium ion homeostasis (GO:0032469),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
negative regulation of nervous system development (GO:0051961),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
negative regulation of viral life cycle (GO:1903901),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
organelle fusion (GO:0048284),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
positive regulation of cyclin-dependent protein kinase activity (GO:1904031),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
positive regulation of oxidoreductase activity (GO:0051353),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
positive regulation of transcription regulatory region DNA binding (GO:2000679),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
release of cytochrome c from mitochondria (GO:0001836),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
response to exogenous dsRNA (GO:0043330),19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
regulation of macroautophagy (GO:0016241),19269,98,99,2,0.5035030359645025,0.09048690340023656,1.0
regulation of protein-containing complex assembly (GO:0043254),19269,98,99,2,0.5035030359645025,0.09048690340023656,1.0
negative regulation of cell population proliferation (GO:0008285),19269,333,99,4,1.7108827650630545,0.09261575892938642,1.0
cortical actin cytoskeleton organization (GO:0030866),19269,19,99,1,0.09761793554413825,0.09327441524485192,1.0
