Term,M_univ,K_term,n_sel,x_overlap,expected,p,FDR
ISG15 Antiviral Mechanism R-HSA-1169408,19269,70,99,2,0.3596450256889304,0.050361088069337236,1.0
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,19269,71,99,2,0.36478281177020083,0.05165155937219701,1.0
FCERI Mediated NF-kB Activation R-HSA-2871837,19269,71,99,2,0.36478281177020083,0.05165155937219701,1.0
Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,19269,72,99,2,0.36992059785147124,0.05295385258523307,1.0
Extra-nuclear Estrogen Signaling R-HSA-9009391,19269,72,99,2,0.36992059785147124,0.05295385258523307,1.0
Assembly Of Pre-Replicative Complex R-HSA-68867,19269,73,99,2,0.3750583839327417,0.05426781495359557,1.0
Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827,19269,73,99,2,0.3750583839327417,0.05426781495359557,1.0
Diseases Associated With Visual Transduction R-HSA-2474795,19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
NF-kB Activation Thru FADD/RIP-1 Pathway Mediated By Caspase-8 And -10 R-HSA-933543,19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
Regulation Of Gene Expression By Hypoxia-inducible Factor R-HSA-1234158,19269,11,99,1,0.05651564689397477,0.055099903218037,1.0
Chromosome Maintenance R-HSA-73886,19269,75,99,2,0.3853339560952826,0.05693014227417182,1.0
Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372,19269,76,99,2,0.390471742176553,0.058278207828853464,1.0
Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,19269,76,99,2,0.390471742176553,0.058278207828853464,1.0
NF-kB Is Activated And Signals Survival R-HSA-209560,19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
"Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511",19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
p75NTR Recruits Signaling Complexes R-HSA-209543,19269,12,99,1,0.06165343297524521,0.059957370742256266,1.0
Collagen Formation R-HSA-1474290,19269,78,99,2,0.4007473143390939,0.06100740327663277,1.0
Interferon Signaling R-HSA-913531,19269,176,99,3,0.9042503503035964,0.06225540999554175,1.0
Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399,19269,79,99,2,0.4058851004203643,0.062388240972401865,1.0
MAPK Family Signaling Cascades R-HSA-5683057,19269,291,99,4,1.4950957496496964,0.06311101640040863,1.0
Cyclin E Associated Events During G1/S Transition R-HSA-69202,19269,80,99,2,0.41102288650163477,0.06377971248928437,1.0
Regulation Of RUNX1 Expression And Activity R-HSA-8934593,19269,13,99,1,0.06679121905651564,0.06479011832996545,1.0
Drug ADME R-HSA-9748784,19269,81,99,2,0.4161606725829052,0.065181674673596,1.0
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,19269,82,99,2,0.4212984586641756,0.06659398553514755,1.0
Switching Of Origins To A Post-Replicative State R-HSA-69052,19269,82,99,2,0.4212984586641756,0.06659398553514755,1.0
APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,19269,83,99,2,0.42643624474544606,0.06801650423926991,1.0
Estrogen-dependent Gene Expression R-HSA-9018519,19269,83,99,2,0.42643624474544606,0.06801650423926991,1.0
Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,19269,83,99,2,0.42643624474544606,0.06801650423926991,1.0
Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
Mismatch Repair (MMR) Directed By MSH2:MSH3 (MutSbeta) R-HSA-5358606,19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
Mismatch Repair (MMR) Directed By MSH2:MSH6 (MutSalpha) R-HSA-5358565,19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
Processive Synthesis On Lagging Strand R-HSA-69183,19269,14,99,1,0.07192900513778608,0.06959827050514898,1.0
RNA Polymerase II Transcription R-HSA-73857,19269,1146,99,10,5.887902849135918,0.06973106794688075,1.0
ER-Phagosome Pathway R-HSA-1236974,19269,85,99,2,0.4367118169079869,0.07089160756664653,1.0
DNA Replication Pre-Initiation R-HSA-69002,19269,87,99,2,0.44698738907052776,0.0738058807888417,1.0
Downstream TCR Signaling R-HSA-202424,19269,87,99,2,0.44698738907052776,0.0738058807888417,1.0
CRMPs In Sema3A Signaling R-HSA-399956,19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
Early Phase Of HIV Life Cycle R-HSA-162594,19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
MAP3K8 (TPL2)-dependent MAPK1/3 Activation R-HSA-5684264,19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
Mismatch Repair R-HSA-5358508,19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
Signaling By NTRK3 (TRKC) R-HSA-9034015,19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
mRNA Decay By 5 To 3 Exoribonuclease R-HSA-430039,19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
p75NTR Signals Via NF-kB R-HSA-193639,19269,15,99,1,0.07706679121905652,0.07438195117094965,1.0
Transcriptional Regulation By TP53 R-HSA-3700989,19269,311,99,4,1.597851471275105,0.07644385311160364,1.0
Transcriptional Regulation By RUNX3 R-HSA-8878159,19269,90,99,2,0.46240074731433906,0.07824836366834965,1.0
RIP-mediated NFkB Activation Via ZBP1 R-HSA-1810476,19269,16,99,1,0.08220457730032696,0.07914128361273183,1.0
CLEC7A (Dectin-1) Signaling R-HSA-5607764,19269,93,99,2,0.4778141055581504,0.08277294947268049,1.0
SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671,19269,93,99,2,0.4778141055581504,0.08277294947268049,1.0
Apoptotic Factor-Mediated Response R-HSA-111471,19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
Azathioprine ADME R-HSA-9748787,19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
G Beta:Gamma Signaling Thru BTK R-HSA-8964315,19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
Regulation Of NF-kappa B Signaling R-HSA-9758274,19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
Removal Of Flap Intermediate From C-strand R-HSA-174437,19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710,19269,17,99,1,0.08734236338159738,0.08387639050113052,1.0
Antigen processing-Cross Presentation R-HSA-1236975,19269,94,99,2,0.48295189163942087,0.08429878200071632,1.0
KEAP1-NFE2L2 Pathway R-HSA-9755511,19269,95,99,2,0.4880896777206913,0.08583321965007899,1.0
Post-translational Protein Modification R-HSA-597592,19269,1198,99,10,6.15506772536198,0.08768428810502124,1.0
Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407,19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
Phosphorylation Of APC/C R-HSA-176412,19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
"TICAM1, RIP1-mediated IKK Complex Recruitment R-HSA-168927",19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
mTORC1-mediated Signaling R-HSA-166208,19269,18,99,1,0.09248014946286781,0.08858739389508381,1.0
Generic Transcription Pathway R-HSA-212436,19269,1050,99,9,5.394675385333956,0.09046092895997748,1.0
G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616,19269,19,99,1,0.09761793554413825,0.09327441524485192,1.0
Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430,19269,19,99,1,0.09761793554413825,0.09327441524485192,1.0
Lagging Strand Synthesis R-HSA-69186,19269,19,99,1,0.09761793554413825,0.09327441524485192,1.0
Prostacyclin Signaling Thru Prostacyclin Receptor R-HSA-392851,19269,19,99,1,0.09761793554413825,0.09327441524485192,1.0
"Synthesis, Secretion, And Inactivation Of Glucagon-like Peptide-1 (GLP-1) R-HSA-381771",19269,19,99,1,0.09761793554413825,0.09327441524485192,1.0
TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204,19269,19,99,1,0.09761793554413825,0.09327441524485192,1.0
Potassium Channels R-HSA-1296071,19269,101,99,2,0.5189163942083138,0.0952135412016089,1.0
Disease R-HSA-1643685,19269,1544,99,12,7.93274170948155,0.09752434210912916,1.0
Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192,19269,20,99,1,0.10275572162540869,0.0979375753950213,1.0
G Beta:Gamma Signaling Thru PLC Beta R-HSA-418217,19269,20,99,1,0.10275572162540869,0.0979375753950213,1.0
Impaired BRCA2 Binding To PALB2 R-HSA-9709603,19269,20,99,1,0.10275572162540869,0.0979375753950213,1.0
Negative Regulation Of MET Activity R-HSA-6807004,19269,20,99,1,0.10275572162540869,0.0979375753950213,1.0
Regulation Of Gene Expression In Beta Cells R-HSA-210745,19269,20,99,1,0.10275572162540869,0.0979375753950213,1.0
TNFR1-induced NFkappaB Signaling Pathway R-HSA-5357956,19269,20,99,1,0.10275572162540869,0.0979375753950213,1.0
ZBP1(DAI) Mediated Induction Of Type I IFNs R-HSA-1606322,19269,20,99,1,0.10275572162540869,0.0979375753950213,1.0
Nucleotide Excision Repair R-HSA-5696398,19269,103,99,2,0.5291919663708547,0.09840354171623059,1.0
Signaling By B Cell Receptor (BCR) R-HSA-983705,19269,103,99,2,0.5291919663708547,0.09840354171623059,1.0
Deadenylation Of mRNA R-HSA-429947,19269,21,99,1,0.10789350770667912,0.10257699458749323,1.0
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,19269,21,99,1,0.10789350770667912,0.10257699458749323,1.0
PCNA-Dependent Long Patch Base Excision Repair R-HSA-5651801,19269,21,99,1,0.10789350770667912,0.10257699458749323,1.0
Presynaptic Function Of Kainate Receptors R-HSA-500657,19269,21,99,1,0.10789350770667912,0.10257699458749323,1.0
RA Biosynthesis Pathway R-HSA-5365859,19269,21,99,1,0.10789350770667912,0.10257699458749323,1.0
Cap-dependent Translation Initiation R-HSA-72737,19269,107,99,2,0.5497431106959365,0.10487265458638642,1.0
Interleukin-1 Signaling R-HSA-9020702,19269,107,99,2,0.5497431106959365,0.10487265458638642,1.0
TCR Signaling R-HSA-202403,19269,107,99,2,0.5497431106959365,0.10487265458638642,1.0
Cytokine Signaling In Immune System R-HSA-1280215,19269,629,99,6,3.231667445119103,0.10508999364822633,1.0
ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170,19269,22,99,1,0.11303129378794954,0.10719279246445902,1.0
APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,19269,22,99,1,0.11303129378794954,0.10719279246445902,1.0
IKK Complex Recruitment Mediated By RIP1 R-HSA-937041,19269,22,99,1,0.11303129378794954,0.10719279246445902,1.0
"Incretin Synthesis, Secretion, And Inactivation R-HSA-400508",19269,22,99,1,0.11303129378794954,0.10719279246445902,1.0
Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,19269,22,99,1,0.11303129378794954,0.10719279246445902,1.0
Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554,19269,22,99,1,0.11303129378794954,0.10719279246445902,1.0
Cell Cycle Checkpoints R-HSA-69620,19269,225,99,3,1.1560018682858477,0.10960221649815917,1.0
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,19269,23,99,1,0.11816907986922,0.1117850880713598,1.0
Signaling By NTRK2 (TRKB) R-HSA-9006115,19269,23,99,1,0.11816907986922,0.1117850880713598,1.0
TRAF6 Mediated NF-kB Activation R-HSA-933542,19269,23,99,1,0.11816907986922,0.1117850880713598,1.0
Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902,19269,23,99,1,0.11816907986922,0.1117850880713598,1.0
APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,19269,24,99,1,0.12330686595049042,0.11635399985983189,1.0
DARPP-32 Events R-HSA-180024,19269,24,99,1,0.12330686595049042,0.11635399985983189,1.0
Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,19269,24,99,1,0.12330686595049042,0.11635399985983189,1.0
G-protein Activation R-HSA-202040,19269,24,99,1,0.12330686595049042,0.11635399985983189,1.0
Pyroptosis R-HSA-5620971,19269,24,99,1,0.12330686595049042,0.11635399985983189,1.0
Resolution Of AP Sites Via Multiple-Nucleotide Patch Replacement Pathway R-HSA-110373,19269,24,99,1,0.12330686595049042,0.11635399985983189,1.0
Thromboxane Signaling Thru TP Receptor R-HSA-428930,19269,24,99,1,0.12330686595049042,0.11635399985983189,1.0
Gene Expression (Transcription) R-HSA-74160,19269,1270,99,10,6.524988323213451,0.1168345836660287,1.0
Neuronal System R-HSA-112316,19269,364,99,4,1.8701541335824383,0.11792022210826973,1.0
DNA Double-Strand Break Repair R-HSA-5693532,19269,115,99,2,0.5908453993460999,0.1181416984515439,1.0
G2/M Checkpoints R-HSA-69481,19269,115,99,2,0.5908453993460999,0.1181416984515439,1.0
ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592,19269,25,99,1,0.12844465203176086,0.12089964569063873,1.0
G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451,19269,25,99,1,0.12844465203176086,0.12089964569063873,1.0
Gap-filling DNA Repair Synthesis And Ligation In GG-NER R-HSA-5696397,19269,25,99,1,0.12844465203176086,0.12089964569063873,1.0
Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568,19269,25,99,1,0.12844465203176086,0.12089964569063873,1.0
G1/S Transition R-HSA-69206,19269,119,99,2,0.6113965436711817,0.12492753229037057,1.0
"FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017",19269,26,99,1,0.13358243811303128,0.12542214283658695,1.0
Resolution Of D-Loop Structures R-HSA-5693537,19269,26,99,1,0.13358243811303128,0.12542214283658695,1.0
Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652,19269,26,99,1,0.13358243811303128,0.12542214283658695,1.0
Adaptive Immune System R-HSA-1280218,19269,666,99,6,3.421765530126109,0.1281178144451891,1.0
Activation Of Matrix Metalloproteinases R-HSA-1592389,19269,27,99,1,0.13872022419430174,0.12992160798542945,1.0
Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729,19269,27,99,1,0.13872022419430174,0.12992160798542945,1.0
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,19269,122,99,2,0.6268099019149931,0.13007755501383894,1.0
CDC42 GTPase Cycle R-HSA-9013148,19269,124,99,2,0.6370854740775338,0.13353825419581447,1.0
"Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042",19269,28,99,1,0.14385801027557216,0.13439815724275433,1.0
Interaction Between L1 And Ankyrins R-HSA-445095,19269,28,99,1,0.14385801027557216,0.13439815724275433,1.0
NOD1/2 Signaling Pathway R-HSA-168638,19269,28,99,1,0.14385801027557216,0.13439815724275433,1.0
Pre-NOTCH Transcription And Translation R-HSA-1912408,19269,28,99,1,0.14385801027557216,0.13439815724275433,1.0
RMTs Methylate Histone Arginines R-HSA-3214858,19269,28,99,1,0.14385801027557216,0.13439815724275433,1.0
Translation R-HSA-72766,19269,249,99,3,1.279308734236338,0.13664312460486214,1.0
Signaling By WNT R-HSA-195721,19269,250,99,3,1.2844465203176088,0.1378164878247101,1.0
Activation Of G Protein Gated Potassium Channels R-HSA-1296041,19269,29,99,1,0.1489957963568426,0.13885190613485798,1.0
Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326,19269,29,99,1,0.1489957963568426,0.13885190613485798,1.0
DNA Strand Elongation R-HSA-69190,19269,29,99,1,0.1489957963568426,0.13885190613485798,1.0
Diseases Associated With TLR Signaling Cascade R-HSA-5602358,19269,29,99,1,0.1489957963568426,0.13885190613485798,1.0
Recognition Of DNA Damage By PCNA-containing Replication Complex R-HSA-110314,19269,29,99,1,0.1489957963568426,0.13885190613485798,1.0
G-protein Beta:Gamma Signaling R-HSA-397795,19269,30,99,1,0.15413358243811304,0.14328296961160683,1.0
Impaired BRCA2 Binding To RAD51 R-HSA-9709570,19269,30,99,1,0.15413358243811304,0.14328296961160683,1.0
Transport Of SLBP Independent Mature mRNA R-HSA-159227,19269,30,99,1,0.15413358243811304,0.14328296961160683,1.0
C-type Lectin Receptors (CLRs) R-HSA-5621481,19269,130,99,2,0.6679121905651564,0.1440429516042007,1.0
Signaling By NTRKs R-HSA-166520,19269,130,99,2,0.6679121905651564,0.1440429516042007,1.0
CaM Pathway R-HSA-111997,19269,31,99,1,0.15927136851938345,0.14769146204928288,1.0
Mitochondrial Fatty Acid Beta-Oxidation R-HSA-77289,19269,31,99,1,0.15927136851938345,0.14769146204928288,1.0
Regulation Of TNFR1 Signaling R-HSA-5357905,19269,31,99,1,0.15927136851938345,0.14769146204928288,1.0
Transport Of SLBP Dependant Mature mRNA R-HSA-159230,19269,31,99,1,0.15927136851938345,0.14769146204928288,1.0
Glucagon Signaling In Metabolic Regulation R-HSA-163359,19269,32,99,1,0.16440915460065392,0.15207749725341652,1.0
Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926,19269,32,99,1,0.16440915460065392,0.15207749725341652,1.0
Beta-catenin Independent WNT Signaling R-HSA-3858494,19269,136,99,2,0.6987389070527791,0.15471557312767945,1.0
Ca-dependent Events R-HSA-111996,19269,33,99,1,0.16954694068192433,0.15644118846160435,1.0
Glucagon-type Ligand Receptors R-HSA-420092,19269,33,99,1,0.16954694068192433,0.15644118846160435,1.0
HDR Thru Single Strand Annealing (SSA) R-HSA-5685938,19269,33,99,1,0.16954694068192433,0.15644118846160435,1.0
Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,19269,33,99,1,0.16954694068192433,0.15644118846160435,1.0
Signal Amplification R-HSA-392518,19269,33,99,1,0.16954694068192433,0.15644118846160435,1.0
Sphingolipid De Novo Biosynthesis R-HSA-1660661,19269,33,99,1,0.16954694068192433,0.15644118846160435,1.0
Interleukin-1 Family Signaling R-HSA-446652,19269,137,99,2,0.7038766931340495,0.15650927382549853,1.0
Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,19269,34,99,1,0.17468472676319477,0.16078264834631548,1.0
Synthesis Of Bile Acids And Bile Salts R-HSA-192105,19269,34,99,1,0.17468472676319477,0.16078264834631548,1.0
Inwardly Rectifying K+ Channels R-HSA-1296065,19269,35,99,1,0.1798225128444652,0.16510198901768086,1.0
MTOR Signaling R-HSA-165159,19269,35,99,1,0.1798225128444652,0.16510198901768086,1.0
Immune System R-HSA-168256,19269,1714,99,12,8.806165343297526,0.1683808653799545,1.0
Regulation Of TP53 Activity R-HSA-5633007,19269,144,99,2,0.7398411957029425,0.16917311974253488,1.0
Collagen Degradation R-HSA-1442490,19269,36,99,1,0.18496029892573562,0.16939932202627242,1.0
Homologous DNA Pairing And Strand Exchange R-HSA-5693579,19269,36,99,1,0.18496029892573562,0.16939932202627242,1.0
Cooperation Of PDCL (PhLP1) And TRiC/CCT In G-protein Beta Folding R-HSA-6814122,19269,37,99,1,0.19009808500700606,0.17367475836586582,1.0
DAG And IP3 Signaling R-HSA-1489509,19269,37,99,1,0.19009808500700606,0.17367475836586582,1.0
Resolution Of Abasic Sites (AP Sites) R-HSA-73933,19269,37,99,1,0.19009808500700606,0.17367475836586582,1.0
TNF Signaling R-HSA-75893,19269,37,99,1,0.19009808500700606,0.17367475836586582,1.0
Transport Of Mature mRNA Derived From An Intronless Transcript R-HSA-159231,19269,37,99,1,0.19009808500700606,0.17367475836586582,1.0
Intracellular Signaling By Second Messengers R-HSA-9006925,19269,282,99,3,1.4488556749182624,0.17705630070067319,1.0
DNA Double Strand Break Response R-HSA-5693606,19269,38,99,1,0.1952358710882765,0.17792840847619115,1.0
